시도,시군구,레벨01,항목,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년
강원,원주시,전,면적,61855519.7,61156002.9,61082849.4,60948812.5,60650897.8,60304010.4,60155476.8,60145658,59949065.2,59843440.7
강원,원주시,답,면적,60337477.4,59035986,58717130.7,57839586.9,56981934.1,56450448.7,55913451.7,55572262.7,55115257.5,54721433.8
강원,원주시,묘지,면적,991498,973970,975217,975592,979976.9,977849.9,977345.5,978354.5,981179.1,981608
강원,강릉시,계,면적,1040377731,1040381390,1040343604,1040709437,1040793379,1040783864,1040782377,1040753600,1040677545,1040827452
강원,강릉시,전,면적,51981370.6,52176029.5,52257727.8,52386287.9,52553383.5,52719017.6,52794657,52889533.3,53144752.5,53184739
강원,강릉시,답,면적,51824649.6,51174900.2,50492401.1,50036940.8,49459287.9,49103663.9,48758829.7,47935405.2,47403092,47038292.4
강원,강릉시,묘지,면적,607411,635811,636880,644384,885556,888109,893580,895737,887357,1011665
강원,동해시,계,면적,180195361.6,180197950.9,180207886,180206138.4,180204937.3,180201979.5,180207415.8,180304697.8,180304737.3,180307717.3
강원,동해시,전,면적,9809474.9,9780942.9,9758869.7,9671840,9624141.4,9605873.7,9536333.7,9511414.2,9474945.3,9296827.3
강원,동해시,답,면적,4655769,4583322.5,4532713.5,4443018.2,4337866.2,4293107.4,4217777.4,4138191.4,4050860.4,3881488.1
강원,동해시,묘지,면적,203343,203343,203343,203349,203349,203349,203449,204108,204042,204292
강원,태백시,계,면적,303466994.1,303475779.3,303475689.1,303495317.1,303530036.3,303521188.1,303488906.3,303447974.2,303443266.8,303438427.5
강원,태백시,전,면적,14140741.5,14144129.3,14104162.3,14105394.9,14109124.4,14090320.8,13828113.1,13724380.8,13667478.4,13641660.4
강원,태백시,답,면적,33661,33661,33661,33632,33603,32988,32575,32575,30925.3,30925.3
강원,태백시,묘지,면적,210117,209973,209973,209903.6,200323.6,200323.6,199535.7,199535.7,199535.7,199587
강원,속초시,계,면적,105701807.1,105721485.6,105718137.4,105735518.6,105759304.6,105760448,105761438.1,105760399,105769531.9,105753666.7
강원,속초시,전,면적,4220659,4211278.9,4201379.9,4110843.9,4089900.3,4055643.3,4044056.3,4013897.4,4001300.6,3999729.4
강원,속초시,답,면적,4415807,4394021.2,4368088.2,4132029.2,4063039.1,4018792.1,3953420.1,3914944.5,3885263.5,3860213.2
강원,속초시,묘지,면적,14553,14553,12944,12944,12901,12801,12801,12801,12801,11889
강원,삼척시,계,면적,1186532913,1187087625,1186997758,1186955787,1187155923,1187839038,1187808257,1187805137,1187827624,1187836727
강원,삼척시,전,면적,56591783.3,56538884.9,56459799.9,56405335.9,56474427,56473337.5,56356017.5,56107915.2,55882989.7,55743656.4
강원,삼척시,답,면적,15421520.4,15372828.3,15158277.2,15112082.8,15003146.7,14948101.7,14906001.6,14772384.6,14721635.1,14680113.4
강원,삼척시,묘지,면적,521709.6,521568.6,520758.6,520269.6,519049.6,519641.6,519814.4,520152.4,520581.4,520267.4
강원,홍천군,계,면적,1819768170,1819829903,1820144860,1820278032,1820182075,1820310463,1820343873,1820515777,1820581131,1820572726
강원,홍천군,전,면적,106086075.8,105891048.6,105503351.7,105594130.1,105866872,105587526.6,105675704,105724592.9,105613215.4,105547926.6
강원,홍천군,답,면적,58612520.3,58247343.7,57807084,57138169.3,56580475.9,56318535.5,56182906.6,55935190.7,55567982.4,55308718.2
강원,홍천군,묘지,면적,474611,473162,482734,486924,490010,492844,493153,498602,499209,505414
강원,횡성군,계,면적,997661894.7,997732131.7,997747189.8,998098360.7,998060941.8,998066555.9,998067061.3,998001971.2,997941905,998002199.2
강원,횡성군,전,면적,86648750.4,86614862.9,86402174.2,86625768.2,86766536.7,86703356,87099426.5,87069815.2,87059634.5,86805318.5
강원,횡성군,답,면적,49474036.9,48632262.8,48168258.2,47662460.1,47422869.3,47076464.6,46714879,46402684.4,46168317.2,45783203.5
강원,횡성군,묘지,면적,859068.3,859304.6,854942.6,857529.5,860629.5,861952.5,861218.6,860834.6,847240.5,846001.5
강원,영월군,계,면적,1127638642,1127618097,1127615087,1127635483,1127425215,1127289701,1127324866,1127307392,1127330773,1127407715
강원,영월군,전,면적,82219751.2,82200631.5,81807127.3,81266635.5,81437461.6,81374854.3,81367963.2,81215382.1,81036840.3,80805317.6
강원,영월군,답,면적,14671565.1,14486414.9,14379784,14173766.1,14063406.8,13947307.6,13840976,13694971.8,13574578.3,13456393.4
강원,영월군,묘지,면적,571102,571067,570184,570372,569058.9,560279.9,560735.9,558711.9,561997.9,548724.9
강원,평창군,계,면적,1463765961,1463828031,1463831419,1463894644,1464050364,1463928054,1463955084,1463948606,1464186613,1464257647
강원,평창군,전,면적,122828872.2,122497862,122266047.3,122653109.1,122727284.6,122734496.8,122595289,122216895.4,121855092,121544050.3
강원,평창군,답,면적,16287698.4,16095765.2,16008941.7,15951809.5,15743186.1,15625878.1,15532090.4,15415893.1,15330378.9,15096324
강원,평창군,묘지,면적,453660,438695,436697.9,435892.9,435787.9,437578.9,439216.9,441303.9,431218.2,431212.2
강원,정선군,계,면적,1219720714,1219727075,1219735834,1219774520,1219774230,1219777975,1219861455,1219864655,1219878441,1219781214
강원,정선군,전,면적,99310531.5,99269030.9,99185971.9,99056605.3,99146808.6,98952533.8,98850778.2,98613961.7,98522193.8,98327398.9
강원,정선군,답,면적,7868931.1,7824093.2,7791105.2,7769331.2,7736826.6,7695749.2,7644314.2,7605090.7,7583402.7,7542501.4
강원,정선군,묘지,면적,421301,418697,417127,415424,414320,414047,449652,449404,448478,447044.6
강원,철원군,계,면적,889425756.7,889458111.3,889457459.3,889473417.3,889471492,889682310.5,889693623.9,889691762.9,889702639.6,890129726.8
강원,철원군,전,면적,85419239.8,85126196.4,84859151.9,84656433.2,84551668.3,84508467.4,84370329.7,84240172.9,84172997.9,84106498.6
강원,철원군,답,면적,123329869.1,122830352.6,122953301.8,122864326.8,122865421.3,122621700.7,122607033.3,122475164.9,122416104,122211234.7
강원,철원군,묘지,면적,663088.9,662891.9,662831.9,660686.1,664163.1,663568.1,662711.1,819926.1,820041.6,820041.6
강원,화천군,계,면적,908969956.6,908918126.2,908933858.3,908922135.3,908924948.7,908931855.5,908933903.4,909081025.3,909111995.2,909094532.5
강원,화천군,전,면적,42182844.3,42137585.5,42128465.5,42129374.7,42289682.7,42116336.1,41965274,41761253.6,41648400.5,41543082.7
강원,화천군,답,면적,17071557.2,16967749.2,16890038.6,16780709.9,16720133.9,16668680.3,16623102,16492959.5,16421805.5,16363697.2
강원,화천군,묘지,면적,258811,256501,256501,256501,256432,255368.4,255368.4,255110.2,255309.2,254561.2
강원,양구군,계,면적,661887502,661889821.3,661839242.3,661814926.1,661815918.2,661819105.6,661967034.6,661998591.1,661981910.5,661991726.8
강원,양구군,전,면적,48263081.8,48236103.7,48180439,48052443.4,47925980.9,47738097.3,47630976.9,47448566.4,47373214.3,47312428.9
강원,양구군,답,면적,25748829.3,25634832.6,25410249.6,25320818.1,25105892.5,25057507.5,24909677.4,24780242.2,24627831.2,24547082.6
강원,양구군,묘지,면적,364614,363652,363587,360919,359841,359841,360021,352916.9,345243.5,345428.2
강원,인제군,계,면적,1645145635,1645174947,1645196111,1645179453,1645178635,1644967141,1646099212,1646079480,1646193854,1646197571
강원,인제군,전,면적,55496829.2,55231499.6,54812963.7,54633074.7,54100417.8,53702778.7,53484641.5,53228223.8,53039699.8,52856695.2
강원,인제군,답,면적,15642303.3,15516374.7,15344575.6,15213093.6,14975296.2,14852772,14768179.8,14695668.9,14597016.4,14453757.4
강원,인제군,묘지,면적,149613,152615.5,152141.5,153601.5,149510.5,149530.5,148640.5,149477,149954,150149
강원,고성군,계,면적,661099299.8,661113075.7,661099081.5,660858940.3,660871394.3,660707506,660747833.7,660751975.5,660766036.4,660766514.4
강원,고성군,전,면적,17821207.4,17788111.5,17825061,17782558.4,17849124.1,17861818.8,17849929.5,17782578,17792818.5,17805748.6
강원,고성군,답,면적,38450767,38281139.4,38289254,37992039.6,37788355,37653416,37397909.6,37117440.7,36981805,36881629.6
강원,고성군,묘지,면적,375450,375422,375486,371596,372569,367386,367486,365303,365419,365070
강원,양양군,계,면적,629863736.8,630077832.1,630086514.4,630095218.4,630087442.6,630079402.5,630005132.2,629689382.2,629750400.5,629777061.9
강원,양양군,전,면적,23795717.7,23784056.4,23900127.6,23661403.8,23544982,23593342.3,23653073.6,23740088.1,23644947.6,23652096.1
강원,양양군,답,면적,28180482,27846628.4,27769479.6,27468574.4,26849023.3,26683524,26537363.4,26330519.7,26145459.3,25982529.6
강원,양양군,묘지,면적,176293,177994,172648.4,174646.4,284541.4,287923.4,290090.4,292535.4,288781.4,282599.4
충북,충북,전,면적,653950677.8,649257861.7,644926668,644058209.9,644073901.8,641623663.7,639807533.9,638225556.6,635829450.8,633947597
충북,충북,답,면적,637514518.3,631293235,626255450.6,621279324.4,617535477.1,613686454.5,609864395.8,605562898.6,602043618.1,598535633.6
충북,충북,묘지,면적,18993147.8,18911544.9,18899709.7,18843631.6,18861175,18961860.3,18992058,18928852.8,19450998.8,19448992.5
충북,청주시 상당구,계,면적,404417074.8,404409859.9,404403961,404414729.6,404450145.8,404362103,404333660.8,404307960.3,404282679.2,404262292.7
